year_decimal,ocean_mass_mm_of_sealevel_height,ocean_mass_1sigma_uncertainty,ocean_mass_deseasoned
2002.29,0,0.91,0
2002.35,0.49,0.65,-0.22
2002.62,15.14,0.56,1.24
2002.71,18.32,0.66,2.79
2002.79,18.49,0.48,3.08
2002.87,16.31,0.47,2.01
2002.96,15.09,0.5,2.69
2003.04,11.2,0.55,1.83
2003.12,9.23,0.49,3.67
2003.2,6.2,0.45,4.29
2003.29,5.5,0.44,5.5
2003.36,5.57,0.45,4.76
2003.54,11.7,0.36,1.62
2003.62,17.3,0.37,3.42
2003.71,18.04,0.37,2.51
2003.79,20.21,0.37,4.79
2003.87,17.99,0.37,3.69
2003.96,14.8,0.36,2.38
2004.02,12.28,0.42,1.88
2004.13,7.86,0.37,2.53
2004.21,6.76,0.36,4.93
2004.29,1.81,0.36,1.82
2004.37,2.98,0.37,1.68
2004.46,8.46,0.37,3.14
2004.54,12.03,0.35,1.84
2004.62,15.98,0.37,2.04
2004.71,17.81,0.38,2.28
2004.79,20.24,0.35,4.84
2004.87,18.01,0.37,3.74
2004.96,15.01,0.37,2.65
2005.04,12.87,0.36,3.56
2005.12,8.47,0.37,2.96
2005.2,5.24,0.37,3.38
2005.29,4.34,0.37,4.35
2005.37,5.4,0.37,4.13
2005.46,11.17,0.38,5.89
2005.54,15.37,0.37,5.22
2005.62,18.2,0.36,4.27
2005.71,19.69,0.37,4.16
2005.79,21.45,0.36,6.04
2005.87,22.14,0.36,7.86
2005.96,17.12,0.42,4.75
2006.04,13.63,0.38,4.29
2006.12,9.27,0.37,3.73
2006.2,4.63,0.36,2.75
2006.29,2.87,0.36,2.87
2006.37,5.68,0.36,4.43
2006.45,7.77,0.38,2.53
2006.54,16.34,0.37,6.22
2006.62,18.53,0.36,4.62
2006.71,22.56,0.38,7.03
2006.79,25.86,0.37,10.45
2006.87,20.64,0.37,6.34
2006.96,15.91,0.38,3.52
2007.04,11.5,0.39,2.13
2007.12,9.54,0.38,3.97
2007.2,6.79,0.37,4.88
2007.29,6.16,0.37,6.15
2007.37,7.01,0.37,5.78
2007.45,11.04,0.38,5.84
2007.54,15.79,0.37,5.7
2007.62,19.73,0.4,5.85
2007.71,22.74,0.38,7.22
2007.79,25.02,0.39,9.61
2007.87,23.99,0.4,9.68
2007.96,20.48,0.37,8.07
2008.04,18.28,0.37,8.88
2008.12,12.98,0.38,7.45
2008.21,7.94,0.37,6.11
2008.29,6.65,0.39,6.66
2008.37,8.86,0.38,7.57
2008.46,13.35,0.38,8.03
2008.54,18.48,0.38,8.28
2008.62,20.6,0.38,6.65
2008.71,22.92,0.38,7.38
2008.79,26,0.37,10.6
2008.87,25.11,0.38,10.84
2008.96,21.63,0.38,9.28
2009.04,17.22,0.37,7.9
2009.12,14.14,0.38,8.64
2009.2,9.63,0.38,7.78
2009.29,7.42,0.36,7.43
2009.37,10.33,0.37,9.06
2009.46,15.23,0.38,9.95
2009.54,18.47,0.4,8.31
2009.62,22.87,0.38,8.94
2009.71,26.01,0.37,10.48
2009.79,28.89,0.38,13.48
2009.87,27.87,0.38,13.58
2009.96,24.12,0.38,11.75
2010.04,17.76,0.38,8.42
2010.12,15.67,0.38,10.14
2010.2,13.79,0.41,11.91
2010.29,12.93,0.38,12.93
2010.37,12.91,0.39,11.66
2010.45,18.33,0.44,13.09
2010.54,22.53,0.39,12.41
2010.62,26.32,0.36,12.41
2010.71,29.6,0.37,14.08
2010.79,29.69,0.38,14.28
2010.87,28.67,0.39,14.38
2010.96,22.77,0.4,10.37
2011.13,15.19,0.43,10.09
2011.2,12.11,0.41,10.2
2011.29,8.91,0.4,8.91
2011.37,11.57,0.39,10.35
2011.55,22.84,0.42,12.31
2011.62,27.21,0.4,13.33
2011.71,30.29,0.39,14.77
2011.79,30.51,0.38,15.09
2011.83,29.02,0.39,14.09
2012,26.06,0.39,15.1
2012.04,23.75,0.38,14.35
2012.12,20.78,0.4,15.24
2012.21,15.55,0.39,13.72
2012.27,17.16,0.45,17.05
2012.46,24.27,0.4,18.95
2012.54,29.37,0.39,19.17
2012.62,33.09,0.37,19.14
2012.7,33.43,0.4,17.97
2012.89,33.7,0.42,19.63
2012.96,32.44,0.4,20.09
2013.04,28.62,0.39,19.3
2013.12,25.47,0.41,19.83
2013.3,19.37,0.42,19.39
2013.37,21.25,0.38,19.98
2013.46,24.41,0.39,19.13
2013.54,29.84,0.39,19.68
2013.79,35.88,0.4,20.47
2013.87,32.95,0.4,18.67
2013.96,30.31,0.41,17.93
2014.02,25.08,0.47,14.95
2014.21,20.32,0.37,18.54
2014.29,20.1,0.37,20.1
2014.37,19.63,0.37,18.38
2014.45,23.24,0.4,18.47
2014.62,34.01,0.38,20.11
2014.71,37.17,0.37,21.64
2014.79,38.23,0.36,22.82
2014.88,34.79,0.37,20.54
2015.06,28.82,0.41,20.17
2015.12,28.32,0.44,22.75
2015.2,27.26,0.33,25.35
2015.29,24.34,0.34,24.34
2015.32,22.82,0.36,22.75
2015.53,33.41,0.38,23.48
2015.62,40.4,0.36,26.52
2015.7,43.39,0.37,27.9
2015.97,39.99,0.37,28.11
2016.04,38.31,0.35,28.91
2016.12,33.08,0.34,27.35
2016.21,28.58,0.35,26.75
2016.38,26.19,0.4,24.49
2016.46,32.45,0.4,27.13
2016.54,35.53,0.41,25.48
2016.64,36.56,0.5,22.21
2016.91,38.94,0.73,25.29
2016.98,37.29,0.77,25.61
2017.06,27.2,0.81,18.42
2017.25,25.9,0.93,25.3
2017.31,26.3,1.03,26.28
2017.36,26.95,1.04,26.02
2017.44,27.14,1.14,22.63
,,,
